mcc,mccg,mccg_name
4900,7,Utility Services
5039,8,Retail Outlet Services
5044,8,Retail Outlet Services
5072,8,Retail Outlet Services
5074,8,Retail Outlet Services
5094,8,Retail Outlet Services
5099,8,Retail Outlet Services
5122,8,Retail Outlet Services
5169,8,Retail Outlet Services
5172,8,Retail Outlet Services
5193,8,Retail Outlet Services
5199,8,Retail Outlet Services
5200,8,Retail Outlet Services
5271,8,Retail Outlet Services
5300,8,Retail Outlet Services
5311,8,Retail Outlet Services
5331,8,Retail Outlet Services
5422,8,Retail Outlet Services
5441,8,Retail Outlet Services
5451,8,Retail Outlet Services
5462,8,Retail Outlet Services
5499,8,Retail Outlet Services
5511,8,Retail Outlet Services
5532,8,Retail Outlet Services
5533,8,Retail Outlet Services
5542,8,Retail Outlet Services
5551,8,Retail Outlet Services
5611,9,Clothing Stores
5621,9,Clothing Stores
5651,9,Clothing Stores
5655,9,Clothing Stores
5681,9,Clothing Stores
5712,10,Miscellaneous Stores
5713,10,Miscellaneous Stores
5714,10,Miscellaneous Stores
5719,10,Miscellaneous Stores
5732,10,Miscellaneous Stores
5733,10,Miscellaneous Stores
5735,10,Miscellaneous Stores
5812,10,Miscellaneous Stores
5814,10,Miscellaneous Stores
5912,10,Miscellaneous Stores
5931,10,Miscellaneous Stores
5932,10,Miscellaneous Stores
5942,10,Miscellaneous Stores
5947,10,Miscellaneous Stores
5948,10,Miscellaneous Stores
5960,10,Miscellaneous Stores
5965,10,Miscellaneous Stores
5967,10,Miscellaneous Stores
5968,10,Miscellaneous Stores
5969,10,Miscellaneous Stores
5970,10,Miscellaneous Stores
5975,10,Miscellaneous Stores
5992,10,Miscellaneous Stores
5995,10,Miscellaneous Stores
5998,10,Miscellaneous Stores
5999,10,Miscellaneous Stores
6010,10,Miscellaneous Stores
6011,10,Miscellaneous Stores
6211,10,Miscellaneous Stores
7011,10,Miscellaneous Stores
7012,10,Miscellaneous Stores
7032,10,Miscellaneous Stores
7033,10,Miscellaneous Stores
7210,10,Miscellaneous Stores
7230,10,Miscellaneous Stores
7273,10,Miscellaneous Stores
7276,10,Miscellaneous Stores
7277,10,Miscellaneous Stores
7298,10,Miscellaneous Stores
7299,10,Miscellaneous Stores
7311,11,Business Services
7349,11,Business Services
7375,11,Business Services
7379,11,Business Services
7392,11,Business Services
7513,11,Business Services
7535,11,Business Services
7538,11,Business Services
7629,11,Business Services
7829,11,Business Services
7841,11,Business Services
7911,11,Business Services
7933,11,Business Services
7941,11,Business Services
7991,11,Business Services
7992,11,Business Services
7995,11,Business Services
7997,11,Business Services
7999,11,Business Services
8011,12,Professional Services and Membership Organizations
8021,12,Professional Services and Membership Organizations
8041,12,Professional Services and Membership Organizations
8042,12,Professional Services and Membership Organizations
8043,12,Professional Services and Membership Organizations
8062,12,Professional Services and Membership Organizations
8071,12,Professional Services and Membership Organizations
8099,12,Professional Services and Membership Organizations
8111,12,Professional Services and Membership Organizations
8241,12,Professional Services and Membership Organizations
8931,12,Professional Services and Membership Organizations
8999,12,Professional Services and Membership Organizations
9311,13,Government Services
1520,2,Contracted Services
7641,11,Business Services
780,1,Agricultural Services
7251,10,Miscellaneous Stores
3649,5,Lodging
3692,5,Lodging
7932,11,Business Services
5966,10,Miscellaneous Stores
4829,7,Utility Services
5933,10,Miscellaneous Stores
1731,2,Contracted Services
5521,8,Retail Outlet Services
4457,6,Transportation Services
3508,5,Lodging
3510,5,Lodging
3535,5,Lodging
3555,5,Lodging
3615,5,Lodging
3625,5,Lodging
3640,5,Lodging
3667,5,Lodging
3710,5,Lodging
3780,5,Lodging
5013,8,Retail Outlet Services
5131,8,Retail Outlet Services
5139,8,Retail Outlet Services
5598,8,Retail Outlet Services
7519,11,Business Services
7699,11,Business Services
3644,5,Lodging
7800,11,Business Services
8651,12,Professional Services and Membership Organizations
9222,13,Government Services
3663,5,Lodging
3741,5,Lodging
5935,10,Miscellaneous Stores
7531,11,Business Services
1771,2,Contracted Services
3562,5,Lodging
3726,5,Lodging
3751,5,Lodging
7339,11,Business Services
3299,1,Airlines
3515,5,Lodging
3586,5,Lodging
3592,5,Lodging
3612,5,Lodging
3647,5,Lodging
3676,5,Lodging
3709,5,Lodging
3735,5,Lodging
3773,5,Lodging
3779,5,Lodging
3785,5,Lodging
5561,8,Retail Outlet Services
7549,11,Business Services
7622,11,Business Services
9223,13,Government Services
3064,1,Airlines
3505,5,Lodging
3518,5,Lodging
3661,5,Lodging
3747,5,Lodging
3524,5,Lodging
3587,5,Lodging
3678,5,Lodging
3763,5,Lodging
3769,5,Lodging
3784,5,Lodging
3564,5,Lodging
3584,5,Lodging
3657,5,Lodging
3658,5,Lodging
3720,5,Lodging
5592,8,Retail Outlet Services
3181,1,Airlines
3368,4,Car Rental
3561,5,Lodging
3823,5,Lodging
3532,5,Lodging
3563,13,Lodging
3735,13,Lodging
3061,1,Airlines
3185,1,Airlines
3537,5,Lodging
3701,5,Lodging
3570,5,Lodging
3541,5,Lodging
